,Lat/Long,MaxEirp,Lat,Long,geometry
119,"-96.77431,32.715152",36.0,32.715152,-96.77431,POINT (761762.3864300774 2117595.161696614)
120,"-96.774353,32.719634",36.0,32.719634,-96.774353,POINT (761750.1926176471 2118092.0248203324)
121,"-96.774397,32.724116",36.0,32.724116,-96.774397,POINT (761737.9054899134 2118588.8865447827)
122,"-96.774441,32.728598",36.0,32.728598,-96.774441,POINT (761725.618776192 2119085.7484128084)
123,"-96.774484,32.73308",36.0,32.73308,-96.774484,POINT (761713.4261868872 2119582.611966788)
124,"-96.774528,32.737562",34.908153999999996,32.737562,-96.774528,POINT (761701.140296317 2120079.474130972)
125,"-96.774572,32.742044",26.643176500000003,32.742044,-96.774572,POINT (761688.8548196111 2120576.3364478513)
126,"-96.774616,32.746525",24.51504525,32.746525,-96.774616,POINT (761676.5715778341 2121073.088048036)
127,"-96.774659,32.751007",36.0,32.751007,-96.774659,POINT (761664.380620198 2121569.952218273)
128,"-96.774703,32.755489",36.0,32.755489,-96.774703,POINT (761652.0963800136 2122066.815011343)
129,"-96.774747,32.759971",36.0,32.759971,-96.774747,POINT (761639.8125534967 2122563.677969278)
130,"-96.774791,32.764453",36.0,32.764453,-96.774791,POINT (761627.5291405963 2123060.5410951176)
131,"-96.774834,32.768934",36.0,32.768934,-96.774834,POINT (761615.3416347613 2123557.29505769)
132,"-96.774878,32.773416",36.0,32.773416,-96.774878,POINT (761603.059044169 2124054.1585283084)
133,"-96.774922,32.777897",25.05240925,32.777897,-96.774922,POINT (761590.7786878351 2124550.9113032627)
134,"-96.774966,32.782379",13.804621,32.782379,-96.774966,POINT (761578.4969240816 2125047.7751309443)
135,"-96.77501,32.786861",36.0,32.786861,-96.77501,POINT (761566.2155736958 2125544.6391417407)
136,"-96.775053,32.791342",36.0,32.791342,-96.775053,POINT (761554.0301062531 2126041.3940037014)
137,"-96.775097,32.795824",36.0,32.795824,-96.775097,POINT (761541.7495776782 2126538.2583896937)
138,"-96.775141,32.800305",36.0,32.800305,-96.775141,POINT (761529.4712828851 2127035.0120950313)
139,"-96.775185,32.804786",36.0,32.804786,-96.775185,POINT (761517.1934011716 2127531.7659955663)
140,"-96.775229,32.809268",36.0,32.809268,-96.775229,POINT (761504.9141120104 2128028.630967326)
141,"-96.775272,32.813749",36.0,32.813749,-96.775272,POINT (761492.730681672 2128525.386804665)
142,"-96.775316,32.818231",36.0,32.818231,-96.775316,POINT (761480.4522138255 2129022.2521820446)
143,"-96.77536,32.822712",36.0,32.822712,-96.77536,POINT (761468.1759792847 2129519.0068937596)
144,"-96.775404,32.827193",36.0,32.827193,-96.775404,POINT (761455.900157575 2130015.761815886)
145,"-96.775448,32.831674",36.0,32.831674,-96.775448,POINT (761443.624748642 2130512.5169514627)
146,"-96.775492,32.836156",36.0,32.836156,-96.775492,POINT (761431.3479322398 2131009.383176785)
