Lat, Long, OperatingClass, ChannelIndex, MaxEirp
32.707275,-97.171195,132,67,36
32.707275,-97.171195,132,75,36
32.707275,-97.171195,132,83,36
32.707275,-97.171195,132,91,36
32.707275,-97.171195,132,123,36
32.707275,-97.171195,132,131,36
32.707275,-97.171195,132,139,36
32.707275,-97.171195,132,147,36
32.707275,-97.171195,132,155,36
32.707275,-97.171195,132,163,36
32.707275,-97.171195,132,171,36
32.707275,-97.171195,132,179,36
32.707275,-97.171195,133,7,36
32.707275,-97.171195,133,23,36
32.707275,-97.171195,133,39,36
32.707275,-97.171195,133,55,36
32.707275,-97.171195,133,71,36
32.707275,-97.171195,133,87,36
32.707275,-97.171195,133,135,36
32.707275,-97.171195,133,151,36
32.707275,-97.171195,133,167,36
32.707275,-97.171195,134,15,36
32.707275,-97.171195,134,47,36
32.707275,-97.171195,134,79,36
32.707275,-97.171195,134,143,36
32.707275,-97.171195,136,2,36
32.716239,-97.171328,131,1,36
32.716239,-97.171328,131,5,36
32.716239,-97.171328,131,9,36
32.716239,-97.171328,131,13,36
32.716239,-97.171328,131,17,36
32.716239,-97.171328,131,21,36
32.716239,-97.171328,131,25,36
32.716239,-97.171328,131,29,36
32.716239,-97.171328,131,33,36
32.716239,-97.171328,131,37,36
32.716239,-97.171328,131,41,36
32.716239,-97.171328,131,45,36
32.716239,-97.171328,131,49,36
32.716239,-97.171328,131,53,36
32.716239,-97.171328,131,57,36
32.716239,-97.171328,131,61,36
32.716239,-97.171328,131,65,36
32.716239,-97.171328,131,69,36
32.716239,-97.171328,131,73,36
32.716239,-97.171328,131,77,36
32.716239,-97.171328,131,81,36
32.716239,-97.171328,131,85,36
32.716239,-97.171328,131,89,36
32.716239,-97.171328,131,93,36
32.716239,-97.171328,131,117,36
32.716239,-97.171328,131,121,36
32.716239,-97.171328,131,125,36
32.716239,-97.171328,131,129,36
32.716239,-97.171328,131,133,36
32.716239,-97.171328,131,137,36
32.716239,-97.171328,131,141,36
32.716239,-97.171328,131,145,36
32.716239,-97.171328,131,149,36
32.716239,-97.171328,131,153,36
32.716239,-97.171328,131,157,36
32.716239,-97.171328,131,161,36
32.716239,-97.171328,131,165,36
32.716239,-97.171328,131,169,36
32.716239,-97.171328,131,173,36
32.716239,-97.171328,131,177,36
32.716239,-97.171328,131,181,36
32.716239,-97.171328,132,3,36
32.716239,-97.171328,132,11,36
32.716239,-97.171328,132,19,36
32.716239,-97.171328,132,27,36
32.716239,-97.171328,132,35,36
32.716239,-97.171328,132,43,36
32.716239,-97.171328,132,51,36
32.716239,-97.171328,132,59,36
32.716239,-97.171328,132,67,36
32.716239,-97.171328,132,75,36
32.716239,-97.171328,132,83,36
32.716239,-97.171328,132,91,36
32.716239,-97.171328,132,123,36
32.716239,-97.171328,132,131,36
32.716239,-97.171328,132,139,36
32.716239,-97.171328,132,147,36
32.716239,-97.171328,132,155,36
32.716239,-97.171328,132,163,36
32.716239,-97.171328,132,171,36
32.716239,-97.171328,132,179,36
32.716239,-97.171328,133,7,36
32.716239,-97.171328,133,23,36
32.716239,-97.171328,133,39,36
32.716239,-97.171328,133,55,36
32.716239,-97.171328,133,71,36
32.716239,-97.171328,133,87,36
32.716239,-97.171328,133,135,36
32.716239,-97.171328,133,151,36
32.716239,-97.171328,133,167,36
32.716239,-97.171328,134,15,36
32.716239,-97.171328,134,47,36
32.716239,-97.171328,134,79,36
32.716239,-97.171328,134,143,36
32.716239,-97.171328,136,2,36
32.725202,-97.17146,131,1,36
32.725202,-97.17146,131,5,36
32.725202,-97.17146,131,9,36
32.725202,-97.17146,131,13,36
32.725202,-97.17146,131,17,36
32.725202,-97.17146,131,21,36
32.725202,-97.17146,131,25,36
32.725202,-97.17146,131,29,36
32.725202,-97.17146,131,33,36
32.725202,-97.17146,131,37,36
32.725202,-97.17146,131,41,36
32.725202,-97.17146,131,45,36
32.725202,-97.17146,131,49,36
32.725202,-97.17146,131,53,36
32.725202,-97.17146,131,57,36
32.725202,-97.17146,131,61,36
32.725202,-97.17146,131,65,36
32.725202,-97.17146,131,69,36
32.725202,-97.17146,131,73,36
32.725202,-97.17146,131,77,36
32.725202,-97.17146,131,81,36
32.725202,-97.17146,131,85,36
32.725202,-97.17146,131,89,36
32.725202,-97.17146,131,93,36
32.725202,-97.17146,131,117,36
32.725202,-97.17146,131,121,36
32.725202,-97.17146,131,125,36
32.725202,-97.17146,131,129,36
32.725202,-97.17146,131,133,36
32.725202,-97.17146,131,137,36
32.725202,-97.17146,131,141,36
32.725202,-97.17146,131,145,36
32.725202,-97.17146,131,149,36
32.725202,-97.17146,131,153,36
32.725202,-97.17146,131,157,36
32.725202,-97.17146,131,161,36
32.725202,-97.17146,131,165,36
32.725202,-97.17146,131,169,36
32.725202,-97.17146,131,173,36
32.725202,-97.17146,131,177,36
32.725202,-97.17146,131,181,36
32.725202,-97.17146,132,3,36
32.725202,-97.17146,132,11,36
32.725202,-97.17146,132,19,36
32.725202,-97.17146,132,27,36
32.725202,-97.17146,132,35,36
32.725202,-97.17146,132,43,36
32.725202,-97.17146,132,51,36
32.725202,-97.17146,132,59,36
32.725202,-97.17146,132,67,36
32.725202,-97.17146,132,75,36
32.725202,-97.17146,132,83,36
32.725202,-97.17146,132,91,36
32.725202,-97.17146,132,123,36
32.725202,-97.17146,132,131,36
32.725202,-97.17146,132,139,36
32.725202,-97.17146,132,147,36
32.725202,-97.17146,132,155,36
32.725202,-97.17146,132,163,36
32.725202,-97.17146,132,171,36
32.725202,-97.17146,132,179,36
32.725202,-97.17146,133,7,36
32.725202,-97.17146,133,23,36
32.725202,-97.17146,133,39,36
32.725202,-97.17146,133,55,36
32.725202,-97.17146,133,71,36
32.725202,-97.17146,133,87,36
32.725202,-97.17146,133,135,36
32.725202,-97.17146,133,151,36
32.725202,-97.17146,133,167,36
32.725202,-97.17146,134,15,36
32.725202,-97.17146,134,47,36
32.725202,-97.17146,134,79,36
32.725202,-97.17146,134,143,36
32.725202,-97.17146,136,2,36
32.734166,-97.171592,131,1,36
32.734166,-97.171592,131,5,36
32.734166,-97.171592,131,9,34.259397
32.734166,-97.171592,131,13,34.572756
32.734166,-97.171592,131,17,36
32.734166,-97.171592,131,21,36
32.734166,-97.171592,131,25,36
32.734166,-97.171592,131,29,36
32.734166,-97.171592,131,33,36
32.734166,-97.171592,131,37,36
32.734166,-97.171592,131,41,36
32.734166,-97.171592,131,45,36
32.734166,-97.171592,131,49,36
32.734166,-97.171592,131,53,36
32.734166,-97.171592,131,57,36
32.734166,-97.171592,131,61,36
32.734166,-97.171592,131,65,36
32.734166,-97.171592,131,69,36
32.734166,-97.171592,131,73,36
32.734166,-97.171592,131,77,36
32.734166,-97.171592,131,81,36
32.734166,-97.171592,131,85,36
32.734166,-97.171592,131,89,36
32.734166,-97.171592,131,93,36
32.734166,-97.171592,131,117,36
32.734166,-97.171592,131,121,36
32.734166,-97.171592,131,125,36
32.734166,-97.171592,131,129,36
32.734166,-97.171592,131,133,36
32.734166,-97.171592,131,137,36
32.734166,-97.171592,131,141,36
32.734166,-97.171592,131,145,36
32.734166,-97.171592,131,149,36
32.734166,-97.171592,131,153,36
32.734166,-97.171592,131,157,36
32.734166,-97.171592,131,161,36
32.734166,-97.171592,131,165,36
32.734166,-97.171592,131,169,33.217531
